tsId;databaseName;timeseriesUnit;raster

dwd_pollenflug_#Hasel#_#Inseln_und_Marschen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Geest_Schleswig-Holstein_und_Hamburg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Mecklenburg-Vorpommern#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Westl._Niedersachsen_Bremen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#oestl._Niedersachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Rhein.-Westfael._Tiefland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Ostwestfalen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Mittelgebirge_NRW#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Harz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Tiefland_Sachsen-Anhalt#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Brandenburg_und_Berlin#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Tiefland_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Mittelgebirge_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Tiefland_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Mittelgebirge_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Mittelgebirgsbereich_Rheinland-Pfalz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Rhein_Pfalz_Nahe_und_Mosel#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Saarland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Nordhessen_und_hess._Mittelgebirge#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Rhein-Main#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Oberrhein_und_unteres_Neckartal#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Hohenlohe_mittlerer_Neckar_Oberschwaben#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Mittelgebirge_Baden-Wuerttemberg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Bayern_noerdl._der_Donau_ohne_Bayr._Wald_und_ohne_Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Allgaeu_Oberbayern_Bay._Wald#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Hasel#_#Donauniederungen#;AllergieDaten;STATUS;PT1D


dwd_pollenflug_#Erle#_#Inseln_und_Marschen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Geest_Schleswig-Holstein_und_Hamburg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Mecklenburg-Vorpommern#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Westl._Niedersachsen_Bremen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#oestl._Niedersachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Rhein.-Westfael._Tiefland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Ostwestfalen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Mittelgebirge_NRW#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Harz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Tiefland_Sachsen-Anhalt#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Brandenburg_und_Berlin#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Tiefland_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Mittelgebirge_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Tiefland_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Mittelgebirge_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Mittelgebirgsbereich_Rheinland-Pfalz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Rhein_Pfalz_Nahe_und_Mosel#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Saarland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Nordhessen_und_hess._Mittelgebirge#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Rhein-Main#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Oberrhein_und_unteres_Neckartal#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Erle#_#Hohenlohe_mittlerer_Neckar_Oberschwaben#;AllergieDaten;STATUS;PT1D
