tsId;databaseName;timeseriesUnit;raster

iw_waermemenge_vd_heizen_tag;StiebelEltronHeatPumpRawDatas;kWH;PT15S
iw_waermemenge_vd_heizen_summe;StiebelEltronHeatPumpRawDatas;mWH;PT15S
iw_waermemenge_nhz_heizen_summe;StiebelEltronHeatPumpRawDatas;mWH;PT15S
iw_leistungsaufnahme_vd_heizen_tag;StiebelEltronHeatPumpRawDatas;kWH;PT15S
iw_leistungsaufnahme_vd_heizen_summe;StiebelEltronHeatPumpRawDatas;mWH;PT15S
iw_vd_heizen;StiebelEltronHeatPumpRawDatas;STUNDEN;PT15S
iw_vd_kühlen;StiebelEltronHeatPumpRawDatas;STUNDEN;PT15S
iw_nhz_1;StiebelEltronHeatPumpRawDatas;STUNDEN;PT15S
iw_nhz_2;StiebelEltronHeatPumpRawDatas;STUNDEN;PT15S
iw_nhz_1_durch_2;StiebelEltronHeatPumpRawDatas;STUNDEN;PT15S
iw_verdichter;StiebelEltronHeatPumpRawDatas;ANZAHL;PT15S

ia_aussentemperatur;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_isttemperatur_hk_1;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_solltemperatur_hk_1;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_vorlaufisttemperatur_wp;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_vorlaufisttemperatur_nhz;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_rücklaufisttemperatur;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_pufferisttemperatur;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_puffersolltemperatur;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_heizungsdruck;StiebelEltronHeatPumpRawDatas;BAR;PT15S
ia_volumenstrom;StiebelEltronHeatPumpRawDatas;LITERPROMINUTE;PT15S
ia_anlagenfrost;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_isttemperatur_fek;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_solltemperatur_fek;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_raumfeuchte;StiebelEltronHeatPumpRawDatas;PROZENT;PT15S
ia_taupunkttemperatur;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_solltemperatur_gebläse;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_quellentemperatur;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_quellendruck;StiebelEltronHeatPumpRawDatas;BAR;PT15S
ia_isttemperatur_gebläse;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_isttemperatur_fläche;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S
ia_solltemperatur_fläche;StiebelEltronHeatPumpRawDatas;GRADCELCIUS;PT15S

da_heizkreis_1_pumpe;StiebelEltronHeatPumpRawDatas;STATUS;PT15S
da_heizen;StiebelEltronHeatPumpRawDatas;STATUS;PT15S
da_verdichter;StiebelEltronHeatPumpRawDatas;STATUS;PT15S
da_heizkreispumpe;StiebelEltronHeatPumpRawDatas;STATUS;PT15S
da_quellenpumpe;StiebelEltronHeatPumpRawDatas;STATUS;PT15S
da_pufferladepumpe;StiebelEltronHeatPumpRawDatas;STATUS;PT15S
da_verdichterschuetz;StiebelEltronHeatPumpRawDatas;STATUS;PT15S
da_reststillstand;StiebelEltronHeatPumpRawDatas;MINUTEN;PT15S

ds_wpm_3i;StiebelEltronHeatPumpRawDatas;STATUS;PT15S
ds_software;StiebelEltronHeatPumpRawDatas;VERSION;PT15S
ds_sg_ready;StiebelEltronHeatPumpRawDatas;STATUS;PT15S
ds_hauptversionsnummer;StiebelEltronHeatPumpRawDatas;VERSION;PT15S
ds_nebenversionsnummer;StiebelEltronHeatPumpRawDatas;VERSION;PT15S
ds_revisionsnummer;StiebelEltronHeatPumpRawDatas;VERSION;PT15S
ds_ok;StiebelEltronHeatPumpRawDatas;STATUS;PT15S


iw_waermemenge_vd_heizen_tag;StiebelEltronHeatPumpCorrectedDatas;kWH;PT15S
iw_waermemenge_vd_heizen_summe;StiebelEltronHeatPumpCorrectedDatas;mWH;PT15S
iw_waermemenge_nhz_heizen_summe;StiebelEltronHeatPumpCorrectedDatas;mWH;PT15S
iw_leistungsaufnahme_vd_heizen_tag;StiebelEltronHeatPumpCorrectedDatas;kWH;PT15S
iw_leistungsaufnahme_vd_heizen_summe;StiebelEltronHeatPumpCorrectedDatas;mWH;PT15S
iw_vd_heizen;StiebelEltronHeatPumpCorrectedDatas;STUNDEN;PT15S
iw_vd_kühlen;StiebelEltronHeatPumpCorrectedDatas;STUNDEN;PT15S
iw_nhz_1;StiebelEltronHeatPumpCorrectedDatas;STUNDEN;PT15S
